Model,Device,Image,IoU,cx_offset,cy_offset,w_offset,h_offset
yolov8m_INT8,GPU.0,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,0.9514,2.14,2.29,0.93,0.75
yolov8m_INT8,GPU.0,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,0.9924,0.16,1.43,0.33,2.20
yolov8m_INT8,GPU.0,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,0.9353,2.97,0.14,5.44,0.02
yolov8m_INT8,GPU.0,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,0.9860,1.81,0.59,3.67,1.43
yolov8m_INT8,GPU.0,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,0.9563,4.03,4.32,8.70,8.00
yolov8m_INT8,GPU.0,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,0.9854,2.25,0.13,3.23,0.26
yolov8m_INT8,GPU.0,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,0.9329,1.06,0.40,6.42,0.03
yolov8m_INT8,GPU.0,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,0.9825,1.29,0.19,5.42,0.84
yolov8m_INT8,GPU.0,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,0.9471,1.80,0.69,3.71,3.61
yolov8m_INT8,GPU.0,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9588,0.03,5.73,0.06,12.93
yolov8m_INT8,GPU.0,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9726,0.95,0.82,2.98,3.66
yolov8m_INT8,GPU.0,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.9422,2.72,6.56,8.78,4.52
yolov8m_INT8,GPU.0,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9832,0.88,1.26,0.38,3.57
yolo26m_FP32,CPU,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,CPU,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,1.0000,0.00,0.00,0.00,0.00
yolo26m_FP32,GPU.0,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,0.9960,0.17,0.05,0.19,0.15
yolo26m_FP32,GPU.0,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,0.9990,0.00,0.04,0.01,0.13
yolo26m_FP32,GPU.0,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,0.9991,0.02,0.05,0.11,0.00
yolo26m_FP32,GPU.0,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,0.9983,0.03,0.02,0.03,0.10
yolo26m_FP32,GPU.0,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,0.9978,0.25,0.07,0.15,0.75
yolo26m_FP32,GPU.0,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,0.9986,0.01,0.01,0.06,0.05
yolo26m_FP32,GPU.0,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,0.9981,0.04,0.17,0.01,0.20
yolo26m_FP32,GPU.0,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,0.9989,0.05,0.17,0.11,0.33
yolo26m_FP32,GPU.0,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,0.9931,0.04,0.04,0.14,0.07
yolo26m_FP32,GPU.0,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,0.9960,0.16,0.62,0.19,1.25
yolo26m_FP32,GPU.0,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,0.9992,0.01,0.02,0.16,0.15
yolo26m_FP32,GPU.0,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,0.9997,0.03,0.02,0.01,0.04
yolo26m_FP32,GPU.0,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,0.9974,0.12,0.03,0.18,0.07
yolo26m_FP32,GPU.0,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,0.9966,0.05,0.55,0.04,1.10
yolo26m_FP32,GPU.0,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,0.9990,0.00,0.02,0.03,0.14
yolo26m_FP32,GPU.0,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9988,0.02,0.06,0.05,0.13
yolo26m_FP32,GPU.0,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9975,0.07,0.21,0.14,0.07
yolo26m_FP32,GPU.0,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.9982,0.09,0.04,0.07,0.46
yolo26m_FP32,GPU.0,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9982,0.21,0.07,0.15,0.15
yolo26m_FP32,GPU.0,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,0.9998,0.01,0.04,0.02,0.07
yolo26m_FP16,CPU,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,0.9997,0.01,0.00,0.01,0.01
yolo26m_FP16,CPU,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,0.9999,0.00,0.00,0.01,0.02
